시도,시군구,도로명,주소,유형,높이_cm,폭_cm,위도,경도,연속형여부,보차분리여부,밀집개수,경사도_도,충격점수,미터당감점
전남광주통합특별시,영광군,함영로6길,전남광주통합특별시 영광군 군서면 보라리 390-1,원호형,10.0,360.0,35.2412,126.502,Y,N,2,0.0,0.0,0.0625
경상남도,김해시,삼안로132번길,경상남도 김해시 삼방동 301,가상형,0.0,0.0,35.2412033,128.9160519,N,N,2,10.05,0.0,0.0
경상남도,김해시,동남로,경상남도 김해시 대동면 초정리 1-6,원호형,3.0,200.0,35.2413432,128.9957506,N,N,2,0.0,0.0,0.0188
전남광주통합특별시,영광군,함영로6길,전남광주통합특별시 영광군 군서면 보라리 400-3,원호형,10.0,360.0,35.2415,126.5022,Y,N,2,0.0,0.0,0.0625
전남광주통합특별시,북구,용전마을길,전남광주통합특별시 북구 용전동 360,원호형,10.0,360.0,35.241525,126.898187,N,Y,4,0.0,0.0,0.0625
경상남도,진주시,지내길,경상남도 진주시 집현면 지내리 50-4,원호형,10.0,360.0,35.24153,128.09199,Y,Y,3,6.02,0.0,0.0625
경상남도,김해시,가야로405번길,경상남도 김해시 동상동 1138,원호형,6.0,200.0,35.2416731,128.8868766,N,N,2,13.04,0.0,0.0375
경상남도,김해시,가락로164번길,경상남도 김해시 대성동 494,가상형,0.0,0.0,35.2417787,128.8809583,N,N,2,11.04,0.0,0.0
경상남도,김해시,삼안로132번길,경상남도 김해시 삼방동 301,가상형,0.0,0.0,35.2418324,128.9155888,N,N,2,10.05,0.0,0.0
경상남도,김해시,우암로,경상남도 김해시 내동 1150,원호형,10.5,360.0,35.2418865,128.8676033,N,Y,4,0.0,0.0,0.0656
경상남도,김해시,가락로,경상남도 김해시 구산동 93-2,가상형,0.0,0.0,35.2419002,128.8779238,N,N,2,4.76,0.0,0.0
경상남도,김해시,평전로,경상남도 김해시 내동 326,원호형,10.0,360.0,35.2419066,128.8597167,N,Y,2,6.09,0.0,0.0625
경상남도,김해시,가락로164번길,경상남도 김해시 대성동 494,가상형,0.0,0.0,35.2419551,128.8812068,N,N,2,10.56,0.0,0.0
전남광주통합특별시,곡성군,오죽로,전남광주통합특별시 곡성군 오곡면 구성리 190-6,원호형,10.0,360.0,35.24198,127.28108,N,N,2,6.92,0.0,0.0625
경상남도,김해시,대동로,경상남도 김해시 대동면 초정리 120-1,원호형,9.0,360.0,35.2421036,128.9819754,N,Y,2,0.0,0.0,0.0562
경상남도,김해시,평전로,경상남도 김해시 내동 326,원호형,9.0,360.0,35.2421271,128.8600265,N,Y,2,4.76,0.0,0.0562
경상남도,김해시,대동로,경상남도 김해시 대동면 초정리 120-1,가상형,0.0,0.0,35.2421848,128.9816918,N,Y,2,0.0,0.0,0.0
경상남도,김해시,대동로,경상남도 김해시 대동면 초정리 383-12,원호형,2.0,200.0,35.2422002,128.9715122,N,Y,2,0.0,0.0,0.0125
경상남도,김해시,내외중앙로,경상남도 김해시 내동 1131-3,원호형,10.0,360.0,35.2422205,128.8690252,N,Y,2,0.0,0.0,0.0625
경상남도,김해시,대동로,경상남도 김해시 대동면 초정리 120-1,원호형,10.0,360.0,35.2422299,128.9812782,N,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,중로2류,전남광주통합특별시 장성군 남면 삼태리 835,원호형,10.0,360.0,35.242266,126.837746,Y,Y,2,0.0,0.0,0.0625
경상남도,진주시,지내길,경상남도 진주시 집현면 지내리 816,원호형,10.0,360.0,35.24237,128.09152,Y,Y,3,6.72,0.0,0.0625
경상남도,김해시,가락로,경상남도 김해시 구산동 93-2,가상형,0.0,0.0,35.2423742,128.8775805,N,N,2,4.76,0.0,0.0
전남광주통합특별시,곡성군,산이재로,전남광주통합특별시 곡성군 겸면 송강리 736-1,원호형,5.0,200,35.24239,127.18492,Y,N,4,9.46,0.0,0.0312
경상남도,김해시,대동로,경상남도 김해시 대동면 초정리 144-1,원호형,7.0,200.0,35.2424108,128.9805494,N,Y,2,0.0,0.0,0.0438
경상남도,김해시,평전로,경상남도 김해시 내동 326,원호형,7.0,200.0,35.2424235,128.8603876,N,Y,2,4.26,0.0,0.0438
경상남도,김해시,가야로405번길,경상남도 김해시 동상동 1137,원호형,11.0,360.0,35.2424462,128.8854088,N,N,2,16.0,0.0,0.0688
전남광주통합특별시,구례군,용방로,전남광주통합특별시 구례군 구례읍 용강리 559-3,원호형,10.0,360.0,35.242469,127.439707,N,N,2,0.0,0.0,0.0625
경상남도,창원시,합성북16길,경상남도 창원시 마산회원구 합성동 370-2,원호형,10.0,360.0,35.2426237663,128.5834185544,N,Y,2,1.35,0.0,0.0625
전남광주통합특별시,곡성군,오죽로,전남광주통합특별시 곡성군 오곡면 구성리 193-2,원호형,10.0,360.0,35.24269,127.28163,N,N,2,6.09,0.0,0.0625
전남광주통합특별시,곡성군,산이재로,전남광주통합특별시 곡성군 겸면 송강리 63-3,가상형,0.0,0.0,35.24272,127.18766,Y,N,2,1.91,0.0,0.0
경상남도,김해시,가야로405번길,경상남도 김해시 동상동 1137,원호형,12.0,360.0,35.242729,128.8848963,N,N,2,16.6,0.0,0.075
경상남도,김해시,진례로,경상남도 김해시 진례면 송정리 593-2,원호형,12.0,360.0,35.2427504,128.7495176,N,N,2,3.02,0.0,0.075
경상남도,김해시,대동로,경상남도 김해시 대동면 초정리 188-2,원호형,7.0,200.0,35.2427636,128.9800554,N,N,2,0.0,0.0,0.0438
경상남도,김해시,평전로,경상남도 김해시 내동 326,원호형,10.0,360.0,35.2427907,128.8608271,N,Y,2,6.02,0.0,0.0625
경상남도,하동군,옥단로,경상남도 하동군 옥종면 두양리 87-2,원호형,10.0,360.0,35.24280413,127.887104,N,Y,4,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로3류,전남광주통합특별시 장성군 남면 마령리 515-2,원호형,10.0,360.0,35.24284326,126.77531377,Y,Y,2,2.13,0.0,0.0625
경상남도,김해시,김해대로,경상남도 김해시 내동 1131-3,원호형,6.0,200.0,35.2428682,128.870556,N,Y,2,0.0,0.0,0.0375
전남광주통합특별시,곡성군,산이재로,전남광주통합특별시 곡성군 겸면 송강리 198-9,원호형,5.0,360.0,35.24289,127.18692,Y,N,4,0.0,0.0,0.0312
경상남도,진주시,향양로,경상남도 진주시 집현면 덕오리 416-1,원호형,10.0,360.0,35.24292,128.13262,Y,Y,3,0.0,0.0,0.0625
경상남도,김해시,우암로,경상남도 김해시 내동 1131-3,원호형,10.0,360.0,35.2429451,128.868932,N,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로3류,전남광주통합특별시 장성군 남면 마령리 516-10,원호형,10.0,360.0,35.2429494,126.77415445,Y,Y,2,2.7,0.0,0.0625
